urun,al_depo,al_yer,al_fiyat_tl_ton,sat_depo,sat_yer,sat_fiyat_tl_ton,mesafe_km,navlun_sabit_tl_ton,navlun_degisken_tl_ton,navlun_toplam_tl_ton,fiyat_farki_tl_ton,net_marj_tl_ton
"MISIR 1.SINIF","TEAM TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,12200,"KAİNAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KARAMAN/MERKEZ,14400,203,164,614,777,2200,1423
"MISIR 1.SINIF","YUSUF ZENGİN TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,12200,"KAİNAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KARAMAN/MERKEZ,14400,203,164,614,777,2200,1423
"MISIR 1.SINIF","ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,12200,"KAİNAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KARAMAN/MERKEZ,14400,203,164,614,777,2200,1423
"BUĞDAY EKMEKLİK KIRMIZI 2.SINIF","ALTINAGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ADANA/CEYHAN,14000,"ŞİMŞEKLİ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/KPINAR,16800,401,164,1214,1377,2800,1423
"MISIR 2.SINIF","SAVRANLAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",AKSARAY/ESKİL,12200,"TOPRAK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KARAMAN/KKBEKIR,14319,177,164,536,699,2119,1420
"MISIR 1.SINIF","HİKMET ŞEFLEK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/SARAYÖNÜ,12241,"ŞİMALA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/ÇUMRA,14143,108,164,327,491,1903,1412
"BUĞDAY EKMEKLİK KIRMIZI 3.SINIF","SÜPERSON TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ANKARA/POLATLI,14587,"PTB TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",ANKARA/POLATLI,16148,0,164,0,164,1561,1397
"ARPA 2.SINIF","KUŞAT TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KAYSERİ/FELAHİYE,10384,"ANADOLU SELÇUKLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,13120,390,164,1181,1345,2736,1391
"MISIR 1.SINIF","HİKMET ŞEFLEK TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/SARAYÖNÜ,12241,"KAHVECİ AGRO TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ TİCARET A.Ş.",KONYA/SARAYÖNÜ,13780,0,164,0,164,1539,1376
"MISIR 1.SINIF","ATARLAR TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",AKSARAY/ESKİL,12200,"ŞİMALA TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/ÇUMRA,14143,140,164,423,587,1943,1357
"MISIR 1.SINIF","İSMAİL HAKAN BALTAOĞLU TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK A.Ş.",KONYA/KPINAR,12349,"ŞİMŞEKLİ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SANAYİ VE TİCARET A.Ş.",KONYA/KPINAR,13868,0,164,0,164,1519,1355
